Model,Confidence Bucket,MAE,N (Balls)
Kalman Filter,0% - 10%,0.0648,4259
Kalman Filter,10% - 20%,0.2416,3144
Kalman Filter,20% - 30%,0.3765,4899
Kalman Filter,30% - 40%,0.4649,7829
Kalman Filter,40% - 50%,0.4977,10177
Kalman Filter,50% - 60%,0.4887,7364
Kalman Filter,60% - 70%,0.4489,5317
Kalman Filter,70% - 80%,0.3722,3623
Kalman Filter,80% - 90%,0.2353,2947
Kalman Filter,90% - 100%,0.1088,2258
Logistic Regression,0% - 10%,0.0615,4125
Logistic Regression,10% - 20%,0.2507,3346
Logistic Regression,20% - 30%,0.3771,4755
Logistic Regression,30% - 40%,0.4647,7932
Logistic Regression,40% - 50%,0.4978,10115
Logistic Regression,50% - 60%,0.4871,7864
Logistic Regression,60% - 70%,0.4495,5449
Logistic Regression,70% - 80%,0.3776,3374
Logistic Regression,80% - 90%,0.2315,2747
Logistic Regression,90% - 100%,0.0966,2110
Random Forest,0% - 10%,0.0993,5467
Random Forest,10% - 20%,0.2817,3158
Random Forest,20% - 30%,0.3542,3152
Random Forest,30% - 40%,0.4463,4958
Random Forest,40% - 50%,0.4942,10221
Random Forest,50% - 60%,0.4947,8013
Random Forest,60% - 70%,0.4441,4975
Random Forest,70% - 80%,0.3759,5056
Random Forest,80% - 90%,0.2876,3314
Random Forest,90% - 100%,0.0783,3503
Gradient Boosting,0% - 10%,0.0971,6337
Gradient Boosting,10% - 20%,0.2846,2934
Gradient Boosting,20% - 30%,0.3654,3039
Gradient Boosting,30% - 40%,0.4485,5073
Gradient Boosting,40% - 50%,0.4954,9988
Gradient Boosting,50% - 60%,0.4931,7729
Gradient Boosting,60% - 70%,0.4403,4311
Gradient Boosting,70% - 80%,0.386,4328
Gradient Boosting,80% - 90%,0.2953,4059
Gradient Boosting,90% - 100%,0.0877,4019
