Feature,Mean_|SHAP|,Rank,Is_KF
required_run_rate,0.054264744979616114,1,False
run_rate_diff,0.05056910381260567,2,False
pressure_index,0.050144090110921156,3,False
current_run_rate,0.05005850427957166,4,False
wickets_in_hand,0.03655904674944654,5,False
balls_remaining,0.027761904402698843,6,False
runs_last_24_balls,0.0145087512212671,7,False
innings_number,0.014442116847974421,8,False
wickets_last_24_balls,0.012172055238204504,9,False
par_deviation,0.011747914920583814,10,False
phase_powerplay,0.008448092083277242,11,False
wickets_last_12_balls,0.006866919982364241,12,False
boundaries_last_24_balls,0.00641190279577915,13,False
kf_momentum,0.006192760734357859,14,True
dots_last_24_balls,0.00518561974710005,15,False
phase_death,0.004872754534138378,16,False
runs_last_12_balls,0.004439851476865369,17,False
kf_pressure,0.0038064525199643017,18,True
kf_strength,0.003685111152989379,19,True
phase_middle,0.002513503803831277,20,False
wickets_last_6_balls,0.0019090953916508133,21,False
boundaries_last_12_balls,0.0018606858667153507,22,False
runs_last_6_balls,0.0016702850074776217,23,False
dots_last_12_balls,0.001592813472687033,24,False
dots_last_6_balls,0.0008701032114704659,25,False
boundaries_last_6_balls,0.0007060322460166031,26,False
venue_avg_first_innings,0.0,27,False
