,runs_last_6_balls,runs_last_12_balls,runs_last_24_balls,wickets_last_6_balls,wickets_last_12_balls,wickets_last_24_balls,dots_last_6_balls,dots_last_12_balls,dots_last_24_balls,boundaries_last_6_balls,boundaries_last_12_balls,boundaries_last_24_balls,current_run_rate
runs_last_6_balls,0.385577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_last_12_balls,0.0,0.00063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_last_24_balls,0.0,0.0,0.323255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wickets_last_6_balls,0.0,0.0,0.0,0.468367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wickets_last_12_balls,0.0,0.0,0.0,0.0,0.000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wickets_last_24_balls,0.0,0.0,0.0,0.0,0.0,0.432501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dots_last_6_balls,0.0,0.0,0.0,0.0,0.0,0.0,0.398443,0.0,0.0,0.0,0.0,0.0,0.0
dots_last_12_balls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000528,0.0,0.0,0.0,0.0,0.0
dots_last_24_balls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397236,0.0,0.0,0.0,0.0
boundaries_last_6_balls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559239,0.0,0.0,0.0
boundaries_last_12_balls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200169,0.0,0.0
boundaries_last_24_balls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41778,0.0
current_run_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708996
