Over,Mkt,KF,Edge,Action,Bet,PnL,Bankroll
1,0.5355000000000001,0.6899005886710361,0.154400588671036,Bet PBKS,61.76023546841441,-61.76023546841441,1938.2397645315855
2,0.531,0.6404622387772965,0.10946223877729644,Bet PBKS,42.43281278256145,-42.43281278256145,1895.806951749024
3,0.5265,0.5895714174694552,0.06307141746945522,Bet PBKS,23.914246339051605,-23.914246339051605,1871.8927054099722
4,0.522,0.5474404696454328,0.025440469645432784,Bet PBKS,9.52436591029789,-9.52436591029789,1862.3683394996742
5,0.5175000000000001,0.4682373749833,-0.04926262501670009,Bet RCB,18.34903063034937,19.680048396281457,1882.0483878959558
6,0.513,0.46651660278159485,-0.046483397218405165,Bet RCB,17.49680055976536,18.430921328869882,1900.4793092248256
7,0.4818,0.4572710883269809,-0.024528911673019127,Bet RCB,9.32333782247523,8.668437211247713,1909.1477464360732
8,0.4506,0.5945983853303094,0.1439983853303094,Bet PBKS,54.9828385687587,-54.9828385687587,1854.1649078673145
9,0.4194,0.3992792730718218,-0.02012072692817818,Bet RCB,7.461429158201778,5.389809488373796,1859.5547173556884
10,0.3882,0.29522638459654466,-0.09297361540345533,Bet RCB,34.57790502262178,21.94040982311503,1881.4951271788034
11,0.357,0.3082759056414041,-0.04872409435859587,Bet RCB,18.33482922237967,10.17967967712215,1891.6748068559255
12,0.32999999999999996,0.31112590300573156,-0.018874096994268397,Bet RCB,7.140730757242535,3.5170763431194567,1895.191883199045
13,0.303,0.1564933352088387,-0.14650666479116128,Bet RCB,55.53164838935443,24.140730935400843,1919.3326141344457
14,0.276,0.0994656016087447,-0.17653439839125534,Bet RCB,67.76564566978797,25.83331243765398,1945.1659265720998
15,0.249,0.1185330411711569,-0.1304669588288431,Bet RCB,50.75597657147012,16.828546160181176,1961.9944727322809
16,0.222,0.1839271109906835,-0.03807288900931649,Bet RCB,14.939759559445713,4.263016223903533,1966.2574889561845
17,0.17033333333333334,0.07257184658269974,-0.09776148675063359,Bet RCB,38.44485109098482,7.892856129969161,1974.1503450861537
18,0.11866666666666667,0.007274982267279362,-0.1113916843993873,Bet RCB,43.980786439355676,5.921770034951066,1980.0721151211048
19,0.067,0.00023656139431781626,-0.0667634386056822,Bet RCB,26.439284618542235,1.8986410176230764,1981.970756138728
20,0.0,0.95121981814856,0.95121981814856,Bet PBKS,377.057972446009,-377.057972446009,1604.912783692719
